league,viz_week_index,week_start_date_utc,week_end_date_utc,game,network,avg_viewers_millions,source_url
NFL,1,1/6/2025,1/12/2025,Eagles at Packers (Wild Card),FOX,35.6,https://apnews.com/article/nfl-wild-card-ratings-adeb080b95aa8da761e80fa000e48090
NFL,2,1/13/2025,1/19/2025,Commanders at Lions (Divisional Playoff),FOX,33.6,https://www.sportsmediawatch.com/2025/01/commanders-lions-viewership-strong-down-double-digits/
NFL,3,1/20/2025,1/26/2025,Bills at Chiefs (Conference Championship),CBS,57.7,https://www.nytimes.com/athletic/6094872/2025/01/28/bills-chiefs-tv-ratings-afc-championship-cbs/
NFL,4,1/27/2025,2/2/2025,Awards,FOX,2.3,https://www.sportsmediawatch.com/2025/02/uconn-tennessee-ratings-usc-iowa-viewership-nfl-honors-nhl-unrivaled-tgl/
NFL,5,2/3/2025,2/9/2025,49ers vs. Chiefs (Super Bowl LVIII),FOX,127.7,https://www.nielsen.com/news-center/2025/super-bowl-lix-makes-tv-history-with-over-127-million-viewers/
NFL,6,2/12/2024,2/18/2024,,,0,
NFL,7,2/19/2024,2/25/2024,,,0,
NFL,8,2/26/2024,3/3/2024,,,0,
NFL,9,3/4/2024,3/10/2024,,,0,
NFL,10,3/11/2024,3/17/2024,,,0,
NFL,11,3/18/2024,3/24/2024,,,0,
NFL,12,3/25/2024,3/31/2024,,,0,
NFL,13,4/1/2024,4/7/2024,,,0,
NFL,14,4/8/2024,4/14/2024,,,0,
NFL,15,4/15/2024,4/21/2024,,,0,
NFL,16,4/22/2024,4/28/2024,Draft,ABC & ESPN,12.1,https://www.nfl.com/news/viewership-for-round-1-of-2024-nfl-draft-surpasses-2023
NFL,17,4/29/2024,5/5/2024,,,0,
NFL,18,5/6/2024,5/12/2024,,,0,
NFL,19,5/13/2024,5/19/2024,,,0,
NFL,20,5/20/2024,5/26/2024,,,0,
NFL,21,5/27/2024,6/2/2024,,,0,
NFL,22,6/3/2024,6/9/2024,,,0,
NFL,23,6/10/2024,6/16/2024,,,0,
NFL,24,6/17/2024,6/23/2024,,,0,
NFL,25,6/24/2024,6/30/2024,,,0,
NFL,26,7/1/2024,7/7/2024,,,0,
NFL,27,7/8/2024,7/14/2024,,,0,
NFL,28,7/15/2024,7/21/2024,,,0,
NFL,29,7/22/2024,7/28/2024,,,0,
NFL,30,7/29/2024,8/4/2024,,,0,
NFL,31,8/5/2024,8/11/2024,,,0,
NFL,32,8/12/2024,8/18/2024,,,0,
NFL,33,8/19/2024,8/25/2024,,,0,
NFL,34,8/26/2024,9/1/2024,,,0,
NFL,35,9/2/2024,9/8/2024,Ravens at Chiefs (W1),NBC,29,https://www.sportsmediawatch.com/2024/09/nfl-week-1-ratings-roundup/
NFL,36,9/9/2024,9/15/2024,Bengals at Chiefs (W2),CBS,27.87,https://deadline.com/2024/09/chiefs-bengals-nfl-week-2-ratings-1236094905/
NFL,37,9/16/2024,9/22/2024,Ravens at Cowboys (W3),FOX,27.29,https://www.sportsmediawatch.com/2024/09/nfl-week-3-ratings-ravens-cowboys-fox/
NFL,38,9/23/2024,9/29/2024,Chiefs at Chargers (W4),CBS,24.15,https://www.sportsmediawatch.com/2024/10/nfl-ratings-week-4-cbs-leads-despite-nielsen-feud/
NFL,39,9/30/2024,10/6/2024,Packers at Rams (W5),CBS,20.27,https://www.sportsmediawatch.com/2024/10/nfl-week-5-ratings-cbs-nbc-fox/
NFL,40,10/7/2024,10/13/2024,Lions at Cowboys (W6),FOX,24.06,https://https://frontofficesports.com/nfl-tv-ratings-down-in-week-6-as-chiefs-rest-cowboys-wilt/www.sportsmediawatch.com/2024/10/thursday-night-football-ratings-week-6-49ers-seahawks/
NFL,41,10/14/2024,10/20/2024,Chiefs at 49ers (W7),FOX,27.08,https://www.sportsmediawatch.com/2024/10/chiefs-49ers-super-bowl-rematch-ratings-fox-week-7-viewership/
NFL,42,10/21/2024,10/27/2024,Bears at Commanders (W8),CBS,24.89,https://www.sportsmediawatch.com/2024/10/bears-commanders-ratings-cbs-cowboys-49ers-nbc-week-8-viewership/
NFL,43,10/28/2024,11/3/2024,Bucaneers at Chiefs (W9),ABC & ESPN,20.6,"https://espnpressroom.com/us/press-releases/2024/11/more-than-20-million-viewers-for-monday-night-football-featuring-buccaneers-and-chiefs-in-overtime-thriller/#:~:text=6%3A,2024%20Monday%20Night%20Football%20Season."
NFL,44,11/4/2024,11/10/2024,Giants at Cowboys (W10),CBS,21.73,https://www.sportsmediawatch.com/2023/11/nfl-week-10-ratings-roundup-giants-cowboys-jets-raiders-viewership-mnf-cbs/
NFL,45,11/11/2024,11/17/2024,Chiefs at Bills (W11),CBS,31.2,https://www.usatoday.com/story/sports/nfl/2024/11/19/bills-vs-chiefs-nfl-tv-ratings/76433395007/
NFL,46,11/18/2024,11/24/2024,49ers at Packers (W12),FOX,25.19,https://www.sportsmediawatch.com/2024/11/monday-night-football-ratings-declines-nfl-week-12-viewership-fox-cbs/
NFL,47,11/25/2024,12/1/2024,Giants at Cowboys (W13 Thanksgiving),FOX,38.8,https://operations.nfl.com/updates/the-game/2024-thanksgiving-day-games-set-viewership-records/
NFL,48,12/2/2024,12/8/2024,Rams at Bills (W14),FOX,24,https://www.sportsmediawatch.com/2024/12/cowboys-bengals-mnf-most-watched-since-2001-simpsons-chiefs-chargers/
